Year,Player,Pos,Ht,Wt,Forty,Vertical,BenchReps,BroadJump,Cone,Shuttle,Round,Pick
2010,Seyi Ajirotutu,WR,6-3,204,4.6,36,14,115,7.22,4.39,,
2010,Rahim Alem,DE,6-3,251,4.75,30.5,,106,7.54,4.8,,
2010,Charles Alexander,DT,6-4,300,5.4,,,,,,,
2010,Danario Alexander,WR,6-5,215,4.62,,,,,,,
2010,Nate Allen,S,6-0,207,4.5,,16,,,,2,37
2010,Tyson Alualu,DE,6-2,295,4.87,35.5,21,116,7.15,4.43,1,10
2010,Jonathon Amaya,S,6-1,203,4.43,28,8,118,,,,
2010,Pat Angerer,ILB,6-0,235,4.71,35,26,110,7.04,4.29,2,63
2010,Lucien Antoine,S,6-0,215,4.62,32,28,120,7.38,4.47,,
2010,Javier Arenas,CB,5-9,197,4.6,,,112,,,2,50
2010,Alric Arnett,WR,6-2,188,4.52,40,,122,7.03,4.43,,
2010,Jon Asamoah,OG,6-4,305,5.07,,,,,,3,68
2010,Larry Asante,S,6-0,212,4.62,37.5,14,118,7,4.17,5,160
2010,Geno Atkins,DT,6-1,293,4.75,33,34,117,7.33,4.43,4,120
2010,Brandon Banks,WR,5-7,149,4.37,31,,113,6.88,4.29,,
2010,Kevin Basped,DE,6-4,258,4.75,29,26,104,7.54,4.88,,
2010,Zane Beadles,OG,6-4,310,5.28,,27,,,,2,45
2010,Jason Beauchamp,ILB,6-3,244,4.89,39.5,21,120,7.1,,,
2010,Chris Bell,WR,6-2,211,4.5,35,15,117,6.76,4.35,,
2010,Joique Bell,RB,5-11,220,4.68,36.5,,120,6.84,4.17,,
2010,Arrelious Benn,WR,6-1,219,4.57,37,20,118,,,2,39
2010,Eric Berry,S,6-0,211,4.4,43,19,130,6.8,4.23,1,5
2010,Jahvid Best,RB,5-10,199,4.34,32.5,18,113,6.75,4.17,1,30
2010,Ciron Black,OG,6-4,327,5.53,25.5,23,91,8.52,5.13,,
2010,LeGarrette Blount,RB,6-0,241,4.7,35,18,117,6.85,4.49,,
2010,Nyan Boateng,WR,6-1,204,4.66,36,14,112,7.35,4.69,,
2010,Kyle Bosworth,OLB,6-1,236,4.69,32.5,25,117,6.67,4.11,,
2010,Brent Bowden,P,6-2,202,4.8,,,,,,6,172
2010,Navorro Bowman,OLB,6-0,242,4.7,29.5,26,115,6.91,4.59,3,91
2010,Sam Bradford,QB,6-4,236,4.79,,,,,,1,1
2010,Dezmon Briscoe,WR,6-2,207,4.66,33,9,115,7.1,4.57,6,191
2010,Dorian Brooks,OG,6-2,306,5.15,23,26,100,7.73,4.66,,
2010,Chris Brown,RB,5-10,210,4.55,36,17,115,,,,
2010,Antonio Brown,WR,5-10,186,4.56,33.5,13,105,6.98,4.18,6,195
2010,Charles Brown,OT,6-5,303,5.21,31.5,21,,,,2,64
2010,Cornelius Brown,CB,5-11,198,4.59,31.5,11,118,6.87,4.24,,
2010,Jarrett Brown,QB,6-3,224,4.5,34.5,,114,7.24,4.39,,
2010,Levi Brown,QB,6-3,229,4.93,31.5,20,106,7.07,4.43,7,209
2010,Dez Bryant,WR,6-2,225,4.52,,,,,,1,24
2010,Bryan Bulaga,OT,6-5,314,5.2,27.5,26,98,7.7,4.75,1,23
2010,Morgan Burnett,S,6-1,209,4.51,,16,,,,3,71
2010,Crezdon Butler,CB,6-0,191,4.43,39.5,17,121,7.08,4.23,5,164
2010,Donald Butler,ILB,6-1,245,4.61,,35,,,,3,79
2010,Jeff Byers,C,6-3,301,5.04,,33,,,,,
2010,Nate Byham,TE,6-4,268,4.97,29,,109,,,6,182
2010,Kyle Calloway,OT,6-6,323,5.46,23.5,22,92,7.96,4.86,7,216
