,Ht,Wt,Forty,Vertical,BenchReps,BroadJump,Cone,Shuttle,Pos_C,Pos_CB,Pos_DB,Pos_DE,Pos_DL,Pos_DT,Pos_EDGE,Pos_FB,Pos_FS,Pos_ILB,Pos_K,Pos_LB,Pos_LS,Pos_OG,Pos_OL,Pos_OLB,Pos_OT,Pos_P,Pos_QB,Pos_RB,Pos_S,Pos_SS,Pos_TE,Pos_WR,Drafted
0,75,204.0,4.6,36.0,14.0,115.0,7.22,4.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
5,74,295.0,4.87,35.5,21.0,116.0,7.15,4.43,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,72,235.0,4.71,35.0,26.0,110.0,7.04,4.29,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,72,215.0,4.62,32.0,28.0,120.0,7.38,4.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
12,72,212.0,4.62,37.5,14.0,118.0,7.0,4.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
13,73,293.0,4.75,33.0,34.0,117.0,7.33,4.43,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,76,258.0,4.75,29.0,26.0,104.0,7.54,4.88,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
18,74,211.0,4.5,35.0,15.0,117.0,6.76,4.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
21,72,211.0,4.4,43.0,19.0,130.0,6.8,4.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
22,70,199.0,4.34,32.5,18.0,113.0,6.75,4.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
23,76,327.0,5.53,25.5,23.0,91.0,8.52,5.13,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
24,72,241.0,4.7,35.0,18.0,117.0,6.85,4.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
25,73,204.0,4.66,36.0,14.0,112.0,7.35,4.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
26,73,236.0,4.69,32.5,25.0,117.0,6.67,4.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
28,72,242.0,4.7,29.5,26.0,115.0,6.91,4.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
30,74,207.0,4.66,33.0,9.0,115.0,7.1,4.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
31,74,306.0,5.15,23.0,26.0,100.0,7.73,4.66,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
33,70,186.0,4.56,33.5,13.0,105.0,6.98,4.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
35,71,198.0,4.59,31.5,11.0,118.0,6.87,4.24,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
37,75,229.0,4.93,31.5,20.0,106.0,7.07,4.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
39,77,314.0,5.2,27.5,26.0,98.0,7.7,4.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
41,72,191.0,4.43,39.5,17.0,121.0,7.08,4.23,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,78,323.0,5.46,23.5,22.0,92.0,7.96,4.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
46,74,247.0,4.88,34.0,17.0,108.0,7.27,4.4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
47,78,314.0,4.75,32.0,34.0,101.0,7.58,4.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
49,77,308.0,5.11,30.5,19.0,106.0,7.68,4.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
52,78,329.0,5.34,24.5,22.0,102.0,7.82,4.94,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
54,69,177.0,4.49,34.0,14.0,115.0,6.85,4.07,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
55,75,231.0,4.62,32.0,22.0,116.0,7.36,4.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
56,73,242.0,4.54,39.0,26.0,124.0,6.9,4.29,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,73,222.0,4.69,36.0,19.0,121.0,6.65,4.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
62,75,242.0,4.76,34.5,22.0,117.0,7.13,4.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
63,73,211.0,4.56,33.0,13.0,115.0,7.24,4.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
66,71,246.0,4.64,35.0,24.0,111.0,7.15,4.32,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67,72,242.0,4.59,33.5,24.0,110.0,7.36,4.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
68,74,212.0,4.45,38.0,7.0,132.0,6.88,4.23,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69,78,318.0,5.55,25.0,19.0,94.0,8.24,4.99,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
74,77,323.0,5.36,33.0,21.0,99.0,8.17,4.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
75,73,244.0,4.62,35.0,25.0,109.0,7.08,4.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
79,76,325.0,5.12,32.5,27.0,103.0,7.84,4.9,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
80,73,226.0,4.4,43.5,24.0,125.0,6.96,4.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
81,76,249.0,4.59,34.0,23.0,115.0,7.32,4.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
84,73,233.0,4.67,33.0,15.0,121.0,7.09,4.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
87,76,332.0,5.21,26.0,29.0,91.0,8.25,4.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
88,78,277.0,4.68,31.5,21.0,111.0,7.21,4.61,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89,71,229.0,4.64,33.0,15.0,107.0,7.56,4.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
90,75,210.0,4.39,34.0,16.0,123.0,6.94,4.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
91,76,246.0,4.62,33.0,16.0,117.0,7.19,4.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
95,69,186.0,4.28,33.5,15.0,115.0,7.0,4.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
97,71,194.0,4.46,33.5,10.0,117.0,7.32,4.33,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
98,74,257.0,4.77,33.5,25.0,113.0,7.04,4.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
100,75,256.0,5.0,33.0,13.0,106.0,7.13,4.29,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
101,72,231.0,4.5,38.0,22.0,118.0,6.94,4.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
102,75,217.0,4.43,34.5,15.0,124.0,6.94,4.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
103,72,192.0,4.37,37.0,15.0,127.0,6.75,4.07,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
104,74,243.0,4.78,32.0,32.0,115.0,6.84,4.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
106,74,240.0,4.81,35.0,21.0,111.0,6.93,4.54,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
108,75,243.0,4.71,34.5,20.0,112.0,7.09,4.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
111,76,305.0,5.31,25.5,26.0,91.0,7.62,4.93,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
113,77,261.0,4.66,35.0,20.0,113.0,7.07,4.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
117,71,193.0,4.52,35.0,18.0,125.0,6.94,4.34,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120,72,225.0,4.49,41.0,21.0,124.0,6.87,4.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
121,76,281.0,4.82,35.0,21.0,117.0,7.25,4.65,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
122,72,187.0,4.43,35.0,16.0,118.0,6.91,4.46,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
123,75,297.0,5.21,26.0,35.0,105.0,7.5,4.73,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
125,76,229.0,4.97,32.5,18.0,118.0,7.1,4.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
126,73,209.0,4.62,33.5,11.0,117.0,6.9,4.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
127,65,166.0,4.34,42.0,10.0,116.0,6.54,4.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
129,75,305.0,4.84,33.5,30.0,114.0,7.61,4.71,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
130,74,255.0,4.65,34.5,26.0,118.0,6.99,4.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
131,75,237.0,4.93,32.5,25.0,115.0,6.86,4.07,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
133,77,331.0,5.24,27.5,27.0,92.0,7.85,4.93,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
134,73,202.0,4.65,35.5,20.0,120.0,6.76,4.22,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
135,70,196.0,4.4,37.5,13.0,118.0,6.92,4.14,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
139,72,193.0,4.42,44.0,7.0,126.0,6.72,4.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
144,78,311.0,5.36,21.5,20.0,89.0,7.89,4.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
146,72,214.0,4.46,41.0,20.0,119.0,6.9,4.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
147,73,214.0,4.51,39.5,24.0,118.0,7.43,4.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
148,74,221.0,4.59,36.0,9.0,115.0,6.83,4.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
149,76,328.0,5.09,30.0,39.0,100.0,8.12,4.71,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
152,75,250.0,4.65,36.5,25.0,118.0,7.26,4.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
153,73,260.0,5.05,33.0,26.0,111.0,7.5,4.74,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
155,75,234.0,4.7,34.0,16.0,120.0,6.96,4.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
158,75,304.0,5.19,24.0,26.0,96.0,7.81,4.66,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
159,75,315.0,5.22,26.5,33.0,101.0,7.56,4.51,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
160,72,232.0,4.59,40.0,21.0,123.0,7.3,4.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
164,72,198.0,4.73,31.5,16.0,116.0,6.88,4.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
167,71,183.0,4.51,38.5,9.0,116.0,6.81,4.27,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
168,74,216.0,4.46,41.5,20.0,123.0,6.45,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
173,72,218.0,4.37,36.0,19.0,121.0,7.0,4.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
176,72,205.0,4.58,34.0,24.0,117.0,6.74,4.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
