,Ht,Wt,Forty,Vertical,BenchReps,BroadJump,Cone,Shuttle,Pos_C,Pos_CB,Pos_DB,Pos_DE,Pos_DL,Pos_DT,Pos_EDGE,Pos_FB,Pos_FS,Pos_ILB,Pos_K,Pos_LB,Pos_LS,Pos_OG,Pos_OL,Pos_OLB,Pos_OT,Pos_P,Pos_QB,Pos_RB,Pos_S,Pos_SS,Pos_TE,Pos_WR,Drafted
0,75,204.0,4.6,36.0,14.0,115.0,7.22,4.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
1,75,251.0,4.75,30.5,0.0,106.0,7.54,4.8,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2,76,300.0,5.4,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3,77,215.0,4.62,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
4,72,207.0,4.5,0.0,16.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
5,74,295.0,4.87,35.5,21.0,116.0,7.15,4.43,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,73,203.0,4.43,28.0,8.0,118.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
7,72,235.0,4.71,35.0,26.0,110.0,7.04,4.29,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,72,215.0,4.62,32.0,28.0,120.0,7.38,4.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
9,69,197.0,4.6,0.0,0.0,112.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,74,188.0,4.52,40.0,0.0,122.0,7.03,4.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
11,76,305.0,5.07,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
12,72,212.0,4.62,37.5,14.0,118.0,7.0,4.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
13,73,293.0,4.75,33.0,34.0,117.0,7.33,4.43,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,67,149.0,4.37,31.0,0.0,113.0,6.88,4.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
15,76,258.0,4.75,29.0,26.0,104.0,7.54,4.88,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
16,76,310.0,5.28,0.0,27.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
17,75,244.0,4.89,39.5,21.0,120.0,7.1,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
