Index,Year,Player,Pos,Ht,Wt,Forty,Vertical,BenchReps,BroadJump,Cone,Shuttle,Pick
1247,2003,Chris Vance,4,73,189.0,4.55,0.0,0.0,0.0,0.0,0.0,0
535,2001,Richard Newsome,4,71,203.0,4.59,0.0,14.0,0.0,0.0,0.0,0
2540,2017,Derek Rivers,4,76,248.0,4.61,35.0,30.0,123.0,6.94,4.4,1
1676,2015,Jamon Brown,4,76,323.0,5.08,0.0,0.0,0.0,0.0,0.0,1
2304,2017,Ryan Anderson,4,74,253.0,4.78,0.0,0.0,0.0,0.0,0.0,1
3313,2020,Tyler Bass,4,70,185.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2383,2017,Justin Evans,4,72,199.0,0.0,0.0,14.0,0.0,0.0,0.0,1
3557,2020,John Reid,4,70,187.0,4.49,36.5,20.0,129.0,6.95,3.97,1
2687,2008,Harry Douglas,4,71,176.0,4.51,31.0,0.0,120.0,6.57,4.12,1
1730,2015,Andrew Donnal,4,78,313.0,5.31,32.0,17.0,101.0,7.84,4.77,1
2292,2016,Antwaun Woods,4,72,318.0,5.18,0.0,0.0,0.0,0.0,0.0,0
179,2010,Dexter McCluster,4,69,172.0,4.53,37.5,20.0,118.0,0.0,4.06,1
395,2001,Leonard Davis,4,78,370.0,5.32,28.0,33.0,97.0,8.72,5.18,1
1696,2005,Thomas Davis,4,73,230.0,4.6,36.5,0.0,115.0,7.09,3.97,1
1059,2003,Jordan Gross,4,76,300.0,5.05,31.5,28.0,112.0,7.69,4.39,1
1739,2015,Ifo Ekpre-Olomu,4,69,192.0,4.52,0.0,0.0,0.0,0.0,0.0,1
1710,2005,Ben Emanuel,4,75,213.0,4.57,0.0,21.0,0.0,0.0,0.0,1
1107,2003,Kenny King,4,75,281.0,4.95,35.0,25.0,114.0,7.5,4.37,1
1718,2015,Geremy Davis,4,74,216.0,4.49,36.5,23.0,124.0,6.86,4.18,1
685,2002,Reche Caldwell,4,72,194.0,4.53,41.5,0.0,130.0,7.0,4.1,1
804,2002,Levi Jones,4,77,304.0,5.21,0.0,0.0,103.0,0.0,0.0,1
1225,2013,Kawann Short,4,75,299.0,5.08,0.0,0.0,0.0,0.0,0.0,1
3967,2021,Hamilcar Rashed,4,74,251.0,4.58,35.5,25.0,128.0,7.51,4.44,0
3583,2020,Stephen Sullivan,4,77,248.0,4.66,36.5,0.0,123.0,7.51,4.62,1
266,2000,Peter Sirmon,4,74,246.0,4.84,34.5,20.0,115.0,7.21,4.27,1
3037,2019,Ryan Davis,4,70,189.0,0.0,35.0,12.0,124.0,7.09,4.23,0
1289,2004,Courtney Anderson,4,78,269.0,4.89,30.0,17.0,106.0,7.86,4.45,1
2899,2008,Darnell Terrell,4,74,203.0,4.46,34.0,15.0,125.0,0.0,0.0,0
3216,2009,Sam Swank,4,72,193.0,4.95,0.0,0.0,0.0,0.0,0.0,0
2319,2017,Ben Boulware,4,72,238.0,0.0,29.5,20.0,111.0,7.02,4.43,0
2631,2018,Austin Allen,4,72,210.0,4.81,29.5,0.0,112.0,7.18,4.48,0
